Entity;Year;Retail;Out;Households;Total
Greece;2020;14;21;89;124
Greece;2022;14;21;87;122
Greenland;2019;13;26;75;114
Greenland;2022;18;52;84;153
Grenada;2019;14;25;66;106
Grenada;2022;20;49;95;164
Guadeloupe;2022;15;23;96;133
Guam;2019;13;25;78;116
Guam;2022;13;20;59;93
Guatemala;2019;16;28;74;119
Guatemala;2022;19;48;91;158
Guinea;2019;16;27;102;145
Guinea;2022;10;31;89;130
Guinea-Bissau;2019;15;27;100;142
Guinea-Bissau;2022;10;31;92;133
Guyana;2019;15;27;71;113
Guyana;2022;15;43;88;146
Haiti;2019;16;28;84;128
Haiti;2022;13;48;90;151
Honduras;2019;15;27;78;121
Honduras;2022;13;48;90;151
Hong Kong;2019;13;25;71;109
Hong Kong;2022;14;25;102;140
Hungary;2019;13;25;93;131
Hungary;2020;4;2;66;72
Hungary;2021;6;2;65;73
Hungary;2022;4;2;66;72
Iceland;2019;12;24;72;108
Iceland;2022;12;18;75;104
India;2019;16;27;50;93
India;2022;10;33;55;97
Indonesia;2019;16;28;78;121
Indonesia;2022;50;40;54;144
Iran;2019;15;27;68;110
Iran;2022;10;33;93;135
Iraq;2019;15;26;114;155
Iraq;2022;32;30;143;205
Ireland;2019;13;56;55;123
Ireland;2020;15;36;49;99
Ireland;2021;15;38;44;97
Ireland;2022;12;36;48;96
Isle of Man;2019;13;26;77;116
Isle of Man;2022;11;17;71;99
Israel;2019;51;27;99;177
Israel;2022;50;24;97;171
Italy;2019;4;26;68;98
Italy;2020;6;3;106;116
Italy;2021;8;4;107;119
Italy;2022;6;20;107;133
Jamaica;2019;16;29;76;121
Jamaica;2022;19;48;86;153
Japan;2008;10;23;84;117
Japan;2009;11;21;81;112
Japan;2010;9;18;84;111
Japan;2011;10;15;79;104
Japan;2012;10;15;69;94
Japan;2013;10;15;68;93
Japan;2014;10;15;65;90
Japan;2015;10;16;65;91
Japan;2016;10;16;62;88
Japan;2017;10;16;62;88
Japan;2018;10;17;61;87
Japan;2019;9;15;60;84
Japan;2020;9;12;60;81
Japan;2022;9;12;60;81
Jordan;2019;15;26;88;129
Jordan;2022;26;30;101;156
Kazakhstan;2019;16;27;75;118
Kazakhstan;2022;21;31;88;140
Kenya;2019;11;32;102;146
Kenya;2022;11;31;81;123
Kiribati;2019;15;26;86;127
Kiribati;2022;10;31;61;102
Kuwait;2019;12;24;90;126
Kuwait;2022;28;24;99;151
Kyrgyzstan;2019;16;28;92;136
Kyrgyzstan;2022;10;31;86;127
Laos;2019;16;28;86;129
Laos;2022;44;40;90;174
Latin America and the Caribbean (UN);2019;16;28;73;116
Latin America and the Caribbean (UN);2022;17;50;94;161
Latvia;2019;13;25;76;114
Latvia;2020;8;19;83;109
Latvia;2021;9;15;73;97
Latvia;2022;8;19;82;109
Least Developed Countries (LDCs);2019;16;24;94;133
Least Developed Countries (LDCs);2022;13;32;92;136
Lebanon;2019;19;33;124;175
Lebanon;2022;26;30;128;183
Lesotho;2019;15;26;95;136
Lesotho;2022;10;31;89;130
Liberia;2019;16;27;102;145
Liberia;2022;10;31;92;133
Libya;2019;16;29;78;123
Libya;2022;21;31;84;136
Liechtenstein;2019;13;25;71;109
Liechtenstein;2022;13;19;82;114
Lithuania;2019;12;25;74;111
Lithuania;2020;10;2;86;97
Lithuania;2021;12;2;87;101
Lithuania;2022;10;2;86;98
Luxembourg;2019;7;21;89;117
Luxembourg;2020;14;14;91;118
Luxembourg;2021;14;15;73;102
Luxembourg;2022;14;14;91;120
Macao;2019;12;25;69;106
